
Jun 15 06:19:00: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: virp_solbac] [Source: 10.142.12.50] [localport: 22] at 06:19:00 GST Thu Jun 15 2023
Jun 15 06:19:10: %SYS-6-LOGOUT: User virp_solbac has exited tty session 1(10.142.12.50)
Jun 15 06:19:52: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: virp_solbac] [Source: 10.142.12.50] [localport: 22] at 06:19:52 GST Thu Jun 15 2023
Jun 15 06:20:01: %SYS-6-LOGOUT: User virp_solbac has exited tty session 1(10.142.12.50)
Jun 15 07:43:34: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/10, changed state to up
Jun 15 09:25:47: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/38, changed state to up
Jun 15 09:28:38: %SW_MATM-4-MACFLAP_NOTIF: Host e0dc.ffc7.7201 in vlan 619 is flapping between port Gi1/0/46 and port Gi3/0/45
Jun 15 09:32:55: %SW_MATM-4-MACFLAP_NOTIF: Host 12c6.5df6.58c6 in vlan 619 is flapping between port Gi1/0/47 and port Gi3/0/45
Jun 15 09:34:32: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/12, changed state to up
Jun 15 09:34:33: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/12, changed state to up
Jun 15 09:34:34: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/12, changed state to down
Jun 15 09:34:35: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/12, changed state to down
Jun 15 09:34:38: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/12, changed state to up
Jun 15 09:34:39: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/12, changed state to up
Jun 15 09:34:54: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/12, changed state to down
Jun 15 09:34:55: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/12, changed state to down
Jun 15 09:34:59: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/12, changed state to up
Jun 15 09:35:00: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/12, changed state to up
Jun 15 09:35:02: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/43, changed state to up
Jun 15 09:35:03: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/43, changed state to up
Jun 15 09:35:36: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/43, changed state to down
Jun 15 09:35:37: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/43, changed state to down
Jun 15 09:35:41: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/43, changed state to up
Jun 15 09:35:42: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/43, changed state to up
Jun 15 09:50:05: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/43, changed state to down
Jun 15 09:50:06: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/43, changed state to down
Jun 15 09:50:31: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/43, changed state to up
Jun 15 09:50:32: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/43, changed state to up
Jun 15 09:57:09: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/33, changed state to down
Jun 15 09:57:10: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/33, changed state to down
Jun 15 10:04:51: %SW_MATM-4-MACFLAP_NOTIF: Host 1243.41af.6b06 in vlan 619 is flapping between port Gi3/0/45 and port Gi2/0/46
Jun 15 10:05:45: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2/0/36, changed state to down
Jun 15 10:05:46: %LINK-3-UPDOWN: Interface GigabitEthernet2/0/36, changed state to down
Jun 15 10:06:54: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/43, changed state to down
Jun 15 10:06:55: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/43, changed state to down
Jun 15 10:07:30: %SW_MATM-4-MACFLAP_NOTIF: Host 8e3e.ef48.9eaa in vlan 622 is flapping between port Gi2/0/45 and port Gi2/0/48
Jun 15 10:09:34: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/43, changed state to up
Jun 15 10:09:35: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/43, changed state to up
Jun 15 10:13:26: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/32, changed state to up
Jun 15 10:13:27: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/32, changed state to up
Jun 15 10:13:35: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/33, changed state to up
Jun 15 10:13:36: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/33, changed state to up
Jun 15 10:14:45: %SW_MATM-4-MACFLAP_NOTIF: Host c62e.c256.9eaa in vlan 619 is flapping between port Gi2/0/45 and port Gi4/0/47
Jun 15 10:16:21: %LINK-3-UPDOWN: Interface GigabitEthernet2/0/36, changed state to up
Jun 15 10:16:22: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2/0/36, changed state to up
Jun 15 10:17:22: %SW_MATM-4-MACFLAP_NOTIF: Host c62e.c256.9eaa in vlan 619 is flapping between port Gi2/0/45 and port Gi4/0/47
Jun 15 10:28:51: %SW_MATM-4-MACFLAP_NOTIF: Host 8a5c.89f3.0a9d in vlan 619 is flapping between port Gi5/0/48 and port Gi1/0/45
Jun 15 10:36:50: %SW_MATM-4-MACFLAP_NOTIF: Host c62e.c256.9eaa in vlan 619 is flapping between port Gi2/0/45 and port Gi4/0/47
Jun 15 10:41:42: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/32, changed state to down
Jun 15 10:41:43: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/32, changed state to down
Jun 15 10:43:51: %SW_MATM-4-MACFLAP_NOTIF: Host c626.25a8.ed70 in vlan 619 is flapping between port Gi3/0/48 and port Gi1/0/46
Jun 15 10:45:46: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/23, changed state to up
Jun 15 10:45:47: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/23, changed state to up
Jun 15 10:51:13: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/32, changed state to up
Jun 15 10:51:14: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/32, changed state to up
Jun 15 10:54:55: %SW_MATM-4-MACFLAP_NOTIF: Host c62e.c256.9eaa in vlan 619 is flapping between port Gi2/0/45 and port Gi4/0/47
Jun 15 10:54:58: %SW_MATM-4-MACFLAP_NOTIF: Host c62e.c256.9eaa in vlan 619 is flapping between port Gi2/0/45 and port Gi4/0/47
Jun 15 10:57:34: %SW_MATM-4-MACFLAP_NOTIF: Host 96be.8337.03dd in vlan 619 is flapping between port Gi1/0/48 and port Gi1/0/47
Jun 15 11:00:16: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/9, changed state to down
Jun 15 11:00:17: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to down
Jun 15 11:03:57: %SW_MATM-4-MACFLAP_NOTIF: Host 8e3e.ef48.9eaa in vlan 622 is flapping between port Gi2/0/45 and port Gi2/0/48
Jun 15 11:07:44: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/32, changed state to down
Jun 15 11:07:45: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/32, changed state to down
Jun 15 11:08:25: %SW_MATM-4-MACFLAP_NOTIF: Host d43b.048a.ede6 in vlan 855 is flapping between port Gi2/0/46 and port Gi2/0/45
Jun 15 11:09:55: %SW_MATM-4-MACFLAP_NOTIF: Host 0add.b509.f345 in vlan 619 is flapping between port Gi1/0/46 and port Gi5/0/47
Jun 15 11:19:24: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: virp_artkin] [Source: 10.100.220.249] [localport: 22] at 11:19:24 GST Thu Jun 15 2023
Jun 15 11:19:25: %SYS-6-LOGOUT: User virp_artkin has exited tty session 1(10.100.220.249)
Jun 15 11:21:16: %SW_MATM-4-MACFLAP_NOTIF: Host 5eec.8098.97ce in vlan 619 is flapping between port Gi3/0/47 and port Gi1/0/46
Jun 15 11:27:17: %SW_MATM-4-MACFLAP_NOTIF: Host c62e.c256.9eaa in vlan 619 is flapping between port Gi4/0/47 and port Gi2/0/48
Jun 15 11:33:35: %SW_MATM-4-MACFLAP_NOTIF: Host c62e.c256.9eaa in vlan 619 is flapping between port Gi4/0/47 and port Gi2/0/45
Jun 15 11:36:55: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: virp_artkin] [Source: 10.100.220.249] [localport: 22] at 11:36:55 GST Thu Jun 15 2023
Jun 15 11:36:56: %SYS-6-LOGOUT: User virp_artkin has exited tty session 1(10.100.220.249)
Jun 15 11:37:27: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: virp_artkin] [Source: 10.100.220.249] [localport: 22] at 11:37:27 GST Thu Jun 15 2023
Jun 15 11:37:28: %SYS-6-LOGOUT: User virp_artkin has exited tty session 1(10.100.220.249)
Jun 15 11:44:36: %SW_MATM-4-MACFLAP_NOTIF: Host 0add.b509.f345 in vlan 619 is flapping between port Gi1/0/46 and port Gi3/0/45
Jun 15 11:46:21: %SW_MATM-4-MACFLAP_NOTIF: Host 0add.b509.f345 in vlan 619 is flapping between port Gi1/0/47 and port Gi3/0/45
Jun 15 11:48:42: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: virp_artkin] [Source: 10.100.220.249] [localport: 22] at 11:48:42 GST Thu Jun 15 2023
Jun 15 11:48:43: %SYS-6-LOGOUT: User virp_artkin has exited tty session 1(10.100.220.249)
Jun 15 11:50:37: %SW_MATM-4-MACFLAP_NOTIF: Host c62e.c256.9eaa in vlan 619 is flapping between port Gi4/0/47 and port Gi2/0/45
Jun 15 11:56:49: %SW_MATM-4-MACFLAP_NOTIF: Host 2293.ed5c.1149 in vlan 619 is flapping between port Gi2/0/45 and port Gi4/0/48
Jun 15 12:01:21: %SW_MATM-4-MACFLAP_NOTIF: Host 6e76.feb9.43ae in vlan 619 is flapping between port Gi3/0/45 and port Gi1/0/46
Jun 15 12:05:38: %SW_MATM-4-MACFLAP_NOTIF: Host c62e.c256.9eaa in vlan 619 is flapping between port Gi2/0/45 and port Gi4/0/47
Jun 15 12:06:59: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: virp_artkin] [Source: 10.100.220.249] [localport: 22] at 12:06:59 GST Thu Jun 15 2023
Jun 15 12:07:00: %SYS-6-LOGOUT: User virp_artkin has exited tty session 1(10.100.220.249)
Jun 15 12:12:38: %SW_MATM-4-MACFLAP_NOTIF: Host c62e.c256.9eaa in vlan 619 is flapping between port Gi4/0/47 and port Gi2/0/45
Jun 15 12:19:00: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/43, changed state to down
Jun 15 12:19:01: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/43, changed state to down
Jun 15 12:23:51: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2/0/26, changed state to down
Jun 15 12:23:52: %LINK-3-UPDOWN: Interface GigabitEthernet2/0/26, changed state to down
Jun 15 12:37:42: %SW_MATM-4-MACFLAP_NOTIF: Host c62e.c256.9eaa in vlan 619 is flapping between port Gi4/0/47 and port Gi2/0/45
Jun 15 12:44:33: %SW_MATM-4-MACFLAP_NOTIF: Host c62e.c256.9eaa in vlan 619 is flapping between port Gi4/0/47 and port Gi2/0/45
Jun 15 12:45:00: %SW_MATM-4-MACFLAP_NOTIF: Host c62e.c256.9eaa in vlan 619 is flapping between port Gi4/0/47 and port Gi2/0/48
Jun 15 12:46:22: %SW_MATM-4-MACFLAP_NOTIF: Host dade.46aa.82bf in vlan 619 is flapping between port Gi1/0/47 and port Gi1/0/48
Jun 15 12:49:34: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/32, changed state to up
Jun 15 12:49:35: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/32, changed state to up
Jun 15 12:49:40: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/32, changed state to down
Jun 15 12:49:41: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/32, changed state to down
Jun 15 12:49:44: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/32, changed state to up
Jun 15 12:49:45: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/32, changed state to up
Jun 15 13:02:59: %SW_MATM-4-MACFLAP_NOTIF: Host c62e.c256.9eaa in vlan 619 is flapping between port Gi2/0/45 and port Gi4/0/47
Jun 15 13:03:24: %SW_MATM-4-MACFLAP_NOTIF: Host f025.b7a0.b7ea in vlan 619 is flapping between port Gi4/0/47 and port Gi3/0/45
Jun 15 13:05:28: %SW_MATM-4-MACFLAP_NOTIF: Host c62e.c256.9eaa in vlan 619 is flapping between port Gi2/0/48 and port Gi2/0/45
Jun 15 13:06:31: %SW_MATM-4-MACFLAP_NOTIF: Host c62e.c256.9eaa in vlan 619 is flapping between port Gi2/0/45 and port Gi4/0/47
Jun 15 13:08:27: %SW_MATM-4-MACFLAP_NOTIF: Host c62e.c256.9eaa in vlan 619 is flapping between port Gi2/0/45 and port Gi4/0/47
Jun 15 13:10:07: %SW_MATM-4-MACFLAP_NOTIF: Host c62e.c256.9eaa in vlan 619 is flapping between port Gi4/0/47 and port Gi2/0/45
Jun 15 13:21:31: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to up
Jun 15 13:21:32: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/9, changed state to up
Jun 15 13:21:37: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/9, changed state to down
Jun 15 13:21:38: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to down
Jun 15 13:21:41: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to up
Jun 15 13:21:42: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/9, changed state to up
Jun 15 13:48:18: %LINK-3-UPDOWN: Interface GigabitEthernet2/0/26, changed state to up
Jun 15 13:48:19: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2/0/26, changed state to up
Jun 15 14:03:46: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2/0/36, changed state to down
Jun 15 14:03:47: %LINK-3-UPDOWN: Interface GigabitEthernet2/0/36, changed state to down
Jun 15 14:05:20: %SW_MATM-4-MACFLAP_NOTIF: Host 4e62.7784.9c89 in vlan 619 is flapping between port Gi2/0/48 and port Gi4/0/48
Jun 15 14:05:34: %SW_MATM-4-MACFLAP_NOTIF: Host c626.25a8.ed70 in vlan 619 is flapping between port Gi5/0/48 and port Gi5/0/47
Jun 15 14:07:23: %LINK-3-UPDOWN: Interface GigabitEthernet2/0/36, changed state to up
Jun 15 14:07:24: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2/0/36, changed state to up
Jun 15 14:07:33: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2/0/26, changed state to down
Jun 15 14:07:34: %LINK-3-UPDOWN: Interface GigabitEthernet2/0/26, changed state to down
Jun 15 14:10:18: %SW_MATM-4-MACFLAP_NOTIF: Host c62e.c256.9eaa in vlan 619 is flapping between port Gi4/0/48 and port Gi3/0/45
